NN	Ranking	Expected	Observed	MI
Weichen	155	15.49	1580	6.67
Antrag	76	176.18	3429	4.28
Fragen	48	374.75	5950	3.99
Stufe	575	27.23	344	3.66
Anzeige	804	57.65	236	2.03
