NN	Ranking	Expected	Observed	MI
Weichen	6	1.55	247	7.32
Antrag	4	17.62	437	4.63
Fragen	5	37.48	348	3.22
Stufe	259	2.72	25	3.2
Anzeige	94	5.76	42	2.86
